Journal Articles																																
Journ #	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	Publication Year	Publication State (Status)	Status Date (yyyy/mm/dd)	Resource Type	"Collaboration (UCAR Only, UCAR and University, UCAR and Other, UCAR, University and Other "	Refereed? (Classification)	Article Title	Journal Name	Published via Open Access? (Yes or No)	Volume	Page Start	Page End	DOI	Notes													
	McDermid	I	S		California Institute of Technology	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Jaffe	D			University of Washington-Bothell	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Gao	R			National Oceanic and Atmospheric Administration	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Stith	Jeffrey			"UCAR, NCAR, EOL, RAF"	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Ryerson	T			National Oceanic and Atmospheric Administration	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Aikin	K			University of Colorado	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Campos	Teresa			"UCAR, NCAR, NESL, ACD"	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Weinheimer	Andrew	J		"UCAR, NCAR, NESL, ACD"	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
	Avery	M	A		National Aeronautics and Space Administration Langley Research Center	2010	published 	2010/01/21	Article-Journal	"UCAR, University and Other"	yes 	Increasing springtime ozone mixing ratios in the free troposphere over western North America	Nature 	No	463	344	348	10.1038/nature08708														
11	Ellis	Scott	M		"UCAR, NCAR, EOL, RSF"	2010	published 	2010/09/04	Article-Journal	UCAR Only	yes 	Water vapor estimates using simultaneous dual-wavelength radar observations 	Radio Science 	No	45	1	15	10.1029/2009RS004280 														
	Vivekanandan 	Jothiram			"UCAR, NCAR, EOL, RSF"	2010	published 	2010/09/04	Article-Journal	UCAR Only	yes 	Water vapor estimates using simultaneous dual-wavelength radar observations 	Radio Science 	No	45	1	15	10.1029/2009RS004280 														
12	Bell	Michael	M		"Naval Postgraduate School and UCAR, NCAR, EOL, RSF"	2010	published 	2010/03/17	Article-Journal	UCAR and University	yes 	Sheared deep vortical convection in pre-depression Hagupit during TCS08 	Geophysical Research Letters 	No	37	1	5	10.1029/2009GL042313 														
	Montgomery	Michael	T		Naval Postgraduate School	2010	published 	2010/03/17	Article-Journal	UCAR and University	yes 	Sheared deep vortical convection in pre-depression Hagupit during TCS09	Geophysical Research Letters 	No	37	1	5	10.1029/2009GL042313 														
13	Rabier	Florence			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Bouchard	Aurelie			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Brun 	Eric			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Doerenbecher	Alexis			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Guedj	Stephanie			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Guidard	Vincent			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Karbou	Fatima			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Peuch	Vincent-Henri			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	El Amraoui	Laaziz			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Puech	Dominique			Météo-France	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Genthon	Christophe 			Laboratory of Glaciology and Geophysical Environment	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Picard	Ghislain			Laboratory of Glaciology and Geophysical Environment	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Town	Michael			Laboratory of Glaciology and Geophysical Environment	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Hertzog	Albert			Laboratoire deMÈtÈorologie Dynamique	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Vial	Francois			Laboratoire deMÈtÈorologie Dynamique	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Cocquerez	Philippe			Centre National d'Etudes Spatiales	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Cohn	Stephen	A		"UCAR, NCAR, EOL, ISF"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Hock	Terrence			"UCAR, NCAR, EOL, ISF"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Fox	Jack			"UCAR, NCAR, EOL, DFS"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1	No longer with UCAR/NCAR													
	Cole	Harold			"UCAR, NCAR, EOL, ISF"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Parsons	David			"UCAR, NCAR, EOL, ISF"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Powers	Jordan	G		"UCAR, NCAR, NESL, MMM"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Romberg	Keith			"UCAR, NCAR, EOL, CDS"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1	No longer with UCAR/NCAR													
	VanAndel	Joseph			"UCAR, NCAR, EOL, CDS"	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Deshler	Terry			University of Wyoming	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Mercer	Jennifer			University of Wyoming	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Haase	Jennifer	S		Purdue University	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Avallone	Linnea			University of Colorado	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Kalnajs	Lars			University of Colorado	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Mechoso	C	R		University of California - Los Angeles	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Tangborn	Andrew			National Aeronautics and Space Administration Goddard Global Modeling and Assimilation Office	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Pellegrini	Andrea			Programma Nazionale di Ricerche in Antartide	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Frenot	Yves			French Polar Institute	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Thepaut	Jean-Noel			European Centre for Medium-Range Weather Forecasts	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	McNally	Anthony			European Centre for Medium-Range Weather Forecasts	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Balsamo	Gianpaolo			European Centre for Medium-Range Weather Forecasts	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
	Steinle	Peter			The Centre for Australian Weather and Climate Research	2010	published 	2009/07/20	Article-Journal	"UCAR, University and Other"	yes 	The Concordiasi project in Antarctica 	Bulletin of the American Meteorological Society 	No	91	69	86	10.1175/2009BAMS2764.1														
14	Wakimoto	Roger			"UCAR, NCAR, EOL, EOLAO"	2010	published 	2009/07/14	Article-Journal	UCAR and University	yes 	Frontal and radar refractivity analyses of the dryline on 11 June 2002 during IHOP 	Monthly Weather Review 	No	138	228	241	10.1175/2009MWR2991.1														
	Murphey	Hanne			"University of California, Los Angeles"	2010	published 	2009/07/14	Article-Journal	UCAR and University	yes 	Frontal and radar refractivity analyses of the dryline on 11 June 2002 during IHOP 	Monthly Weather Review 	No	138	228	241	10.1175/2009MWR2991.1														
15	Wunch	D			California Institute of Technology	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Toon	G	C		California Institute of Technology	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Wennberg	P	O		California Institute of Technology	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Wofsy	S	C		Harvard University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Stephens	Britton	B		"UCAR, NCAR, EOL, RAF"	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Fischer	M	L		Lawrence Berkeley National Laboratories	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Uchino	O			National Institute for Environmental Studies	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Abshire	J	B		National Aeronautics and Space Administration Goddard Space Flight Center	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Bernath	P			University of Waterloo	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Biraud	S	C		Lawrence Berkeley National Laboratories	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Blavier	J	F		California Institute of Technology	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Boone	C			University of Waterloo	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Bowman	K	P		Texas A&M University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Browell	E	V		National Aeronautics and Space Administration Langley Research Center	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Campos	Teresa			"UCAR, NCAR, NESL, ACD"	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Connor	B	J		BC Consulting Limited	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Daube	B	C		Harvard University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Deutscher	N	M		University of Wollongong	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Diao	M			Princeton University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Elkins	J	W		National Oceanic and Atmospheric Administration	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Gerbig	C			Max-Planck-Institut fur Biogeochemie	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Gottlieb	E			Harvard University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Griffith	D	W		University of Wollongong	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Hurst	D	F		University of Colorado	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Jimenez	R			Harvard University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Keppel-Aleks	G			California Institute of Technology	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Kort	E	A		Harvard University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Macatangay	R			University of Wollongong	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Machida	T			National Institute for Environmental Studies	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Matsueda	H			Meteorological Research Institute	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Moore	F			University of Colorado	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Morino	I			National Institute for Environmental Studies	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Park	S			Harvard University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Robinson	J			National Institute of Water & Atmospheric Research	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Roehl	C	M		California Institute of Technology	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Sawa	Y			Meteorological Research Institute	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Sherlock	V			Natonal Institute of Water & Atmospheric Research	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Sweeney	C			University of Colorado	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Tanaka	T			Natonal Institute for Environmental Studies	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
	Zondlo	M	A		Princeton University	2010	published 	2010/10/06	Article-Journal	"UCAR, University and Other"	yes 	Calibration of the total carbon column observing network using aircraft profile data 	Atmospheric Measurement Techniques 	No	3	1351	1362	10.5194/amt-3-1351-2010														
16	Mao	J			Pennsylvania State University	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Ren	X			Pennsylvania State University	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Brune	William	H		Pennsylvania State University	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Olson	J	R		National Aeronautics and Space Administration Langley Research Center	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Crawford	J	H		National Aeronautics and Space Administration Langley Research Center	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Fried	Alan			"UCAR, NCAR, EOL, TDF"	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Huey	L	G		Georgia Institute of Technology	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Cohen	R	C		University of California Berkeley	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Heikes	B			University of Rhode Island	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Singh	H	B		National Aeronautics and Space Administration Ames Research Center	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Blake	D	R		University of California Irvine	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Sachse	G	W		National Aeronautics and Space Administration Langley Research Center	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Diskin	G	S		National Aeronautics and Space Administration Langley Research Center	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Hall 	S	R		"UCAR, NCAR, NESL, ACD"	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
	Shetter	R	E		"UCAR, NCAR, NESL, ACD"	2009	published 	2009/01/12	Article-Journal	"UCAR, University and Other"	yes 	Airborne measurement of OH reactivity during INTEX-B 	Atmospheric Chemistry and Physics 	No	9	163	173	10.5194/acp-9-163-2009														
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
